Ensembl_ID	HGNC_ID	Expression_value
ENSG00000005961	HGNC:6138	0.826408237654711
ENSG00000005981	HGNC:16009	0.253515924028965
ENSG00000006007	HGNC:29644	104.184585549517
ENSG00000006015	HGNC:26098	14.8538855267477
ENSG00000006016	HGNC:2364	2.98994581559095
ENSG00000006025	HGNC:16387	8.88440770630394
ENSG00000006042	HGNC:24529	52.4964321900209
ENSG00000006047	HGNC:17948	7.64832160688731
ENSG00000006059	HGNC:6450	0.139971084510088
ENSG00000006062	HGNC:6853	11.6827288639071
ENSG00000006071	HGNC:59	5.00590820084881
ENSG00000006118	HGNC:31092	76.7288677824735
ENSG00000006125	HGNC:563	293.737191411732
ENSG00000006128	HGNC:11517	0.358563022572936
ENSG00000006194	HGNC:13056	32.7815611005429
ENSG00000006210	HGNC:10647	76.3026086355678
ENSG00000006282	HGNC:26125	53.9352440109903
ENSG00000006283	HGNC:1394	0.867401738316363
ENSG00000006327	HGNC:18152	42.1830316308535
ENSG00000006377	HGNC:2919	0.158499829799129
ENSG00000006432	HGNC:6861	8.52881230351019
ENSG00000006451	HGNC:9839	76.8434031459485
ENSG00000006453	HGNC:21649	33.8878771388837
ENSG00000006459	HGNC:22224	30.5858449061319
ENSG00000006468	HGNC:3490	10.7487952800702
ENSG00000006530	HGNC:21869	25.2438426015444
ENSG00000006534	HGNC:410	13.4977259252491
ENSG00000006555	HGNC:26067	10.2182279557764
ENSG00000006576	HGNC:13411	31.7911316895565
ENSG00000006606	HGNC:10625	0.402464992700326
ENSG00000006607	HGNC:16460	23.9642029052305
ENSG00000006611	HGNC:12597	0.110798916723056
ENSG00000006625	HGNC:21705	61.6327658004066
ENSG00000006634	HGNC:17364	9.21699529619203
ENSG00000006638	HGNC:11608	2.83216128617328
ENSG00000006652	HGNC:5456	27.2680570666514
ENSG00000006695	HGNC:2260	13.5868242454861
ENSG00000006704	HGNC:4661	24.3024706846792
ENSG00000006712	HGNC:25459	72.9954380559704
ENSG00000006715	HGNC:12713	65.4208152474588
ENSG00000006740	HGNC:29096	6.90119231516239
ENSG00000006744	HGNC:14198	58.7802751010768
ENSG00000006747	HGNC:21695	16.9286427516412
ENSG00000006756	HGNC:717	80.3604364619543
ENSG00000006757	HGNC:24887	30.3890196365636
ENSG00000006788	HGNC:7571	0.184517611139761
ENSG00000006831	HGNC:24041	170.475458743348
ENSG00000006837	HGNC:15483	0.803689627464434
ENSG00000007001	HGNC:23061	0.211347397932522
ENSG00000007038	HGNC:9485	0.87788081938127
ENSG00000007047	HGNC:13538	46.3359015410094
ENSG00000007062	HGNC:9454	59.9323398898856
ENSG00000007080	HGNC:25171	52.0385692417533
ENSG00000007129	HGNC:28834	1.25830361914257
ENSG00000007168	HGNC:8574	132.134108936935
ENSG00000007171	HGNC:7873	0.625821485528744
ENSG00000007174	HGNC:2953	4.01528218943707
ENSG00000007202	HGNC:28960	184.275741562467
ENSG00000007216	HGNC:10917	3.50597569658063
ENSG00000007237	HGNC:4169	101.883886247554
ENSG00000007255	HGNC:23069	28.0379495424577
ENSG00000007264	HGNC:6906	6.42827526857593
ENSG00000007306	HGNC:1819	0.403416449113058
ENSG00000007312	HGNC:1699	3.94991490380042
ENSG00000007314	HGNC:10591	16.5879622279416
ENSG00000007341	HGNC:18441	10.0605648446503
ENSG00000007350	HGNC:11835	0.167634822811999
ENSG00000007372	HGNC:8620	2.36187973573528
ENSG00000007376	HGNC:14173	24.7769175610913
ENSG00000007384	HGNC:20561	39.4668911115792
ENSG00000007392	HGNC:6723	33.7292970679117
ENSG00000007402	HGNC:1400	34.1144557376908
ENSG00000007516	HGNC:948	15.5501108218296
ENSG00000007520	HGNC:14175	39.5194064873869
ENSG00000007541	HGNC:14135	61.6490004905132
ENSG00000007545	HGNC:14122	16.8139401518703
ENSG00000007866	HGNC:11716	26.6562937175911
ENSG00000007908	HGNC:10718	10.6420801619838
ENSG00000007923	HGNC:25570	23.1745323071901
ENSG00000007933	HGNC:3771	4.78216050127059
ENSG00000007944	HGNC:21155	59.4672845181059
ENSG00000007952	HGNC:7889	1.15625351949829
ENSG00000007968	HGNC:3114	4.47518376972063
ENSG00000008018	HGNC:9537	152.649733435628
ENSG00000008056	HGNC:11494	4.90794386967768
ENSG00000008083	HGNC:6196	27.7164571185292
ENSG00000008086	HGNC:11411	17.6258553635718
ENSG00000008118	HGNC:14585	2.03900565098552
ENSG00000008128	HGNC:1730	4.19855068683345
ENSG00000008130	HGNC:29831	61.2319463420805
ENSG00000008196	HGNC:11743	14.2414655676785
ENSG00000008197	HGNC:15581	0.267681721057995
ENSG00000008226	HGNC:2899	2.54952682172548
ENSG00000008256	HGNC:9504	45.7094086838376
ENSG00000008277	HGNC:201	8.67228972448861
ENSG00000008282	HGNC:11507	122.246430220126
ENSG00000008283	HGNC:2571	152.055186663169
ENSG00000008294	HGNC:14524	105.253665336226
ENSG00000008300	HGNC:3230	12.1339972321699
ENSG00000008311	HGNC:17366	14.8552434603642
ENSG00000008323	HGNC:25562	20.7308159467603
ENSG00000008324	HGNC:15593	17.7588394743156
ENSG00000008382	HGNC:25934	15.4580222401153
ENSG00000008394	HGNC:7061	373.8899485569
ENSG00000008405	HGNC:2384	20.6084143504228
ENSG00000008441	HGNC:7788	219.682784907889
ENSG00000008513	HGNC:10862	105.761432214778
ENSG00000008516	HGNC:14246	3.13673314444134
ENSG00000008517	HGNC:16830	23.7289947105475
ENSG00000008710	HGNC:9008	63.9930786276083
ENSG00000008735	HGNC:6883	42.3857344108626
ENSG00000008838	HGNC:22963	56.9754191785621
ENSG00000008853	HGNC:18756	18.7462610167855
ENSG00000008869	HGNC:29273	49.0901896598688
ENSG00000008952	HGNC:11846	215.124623447775
ENSG00000008988	HGNC:10405	973.382197444299
ENSG00000009307	HGNC:29905	785.48201251279
ENSG00000009335	HGNC:16803	86.5752769734585
ENSG00000009413	HGNC:9968	43.3672649178932
ENSG00000009694	HGNC:8117	4.1274498985577
ENSG00000009724	HGNC:6902	1.19352278166197
ENSG00000009765	HGNC:21071	0.126471090785214
ENSG00000009780	HGNC:28530	16.6027655122321
ENSG00000009790	HGNC:30766	2.76517123838715
ENSG00000009830	HGNC:19743	20.6224069390011
ENSG00000009844	HGNC:20954	44.3678545242584
ENSG00000009950	HGNC:12744	30.5763496951022
ENSG00000009954	HGNC:961	103.862497703596
ENSG00000010017	HGNC:13727	75.8466964924641
ENSG00000010030	HGNC:18160	2.77875198550036
ENSG00000010072	HGNC:25356	12.96867915656
ENSG00000010165	HGNC:24248	40.5188139214028
ENSG00000010219	HGNC:3095	18.2505416365368
ENSG00000010244	HGNC:12998	118.480072962687
ENSG00000010256	HGNC:12585	140.704415684568
ENSG00000010270	HGNC:19169	31.1158015501284
ENSG00000010278	HGNC:1709	251.261123709088
ENSG00000010282	HGNC:13242	0.247006161167619
ENSG00000010292	HGNC:24305	63.5174954063245
ENSG00000010295	HGNC:24970	10.3001756946287
ENSG00000010310	HGNC:4271	2.3611769874385
ENSG00000010318	HGNC:18458	6.2502117319456
ENSG00000010319	HGNC:30400	125.349568322515
ENSG00000010322	HGNC:18006	86.3491940872806
ENSG00000010327	HGNC:18628	106.499639226844
ENSG00000010361	HGNC:26219	21.1349106548284
ENSG00000010379	HGNC:11046	0.125530533574036
ENSG00000010404	HGNC:5389	100.855685445151
ENSG00000010438	HGNC:9486	0.180628890731129
ENSG00000010539	HGNC:12993	9.2003056693347
ENSG00000010610	HGNC:1678	59.7879246182903
ENSG00000010626	HGNC:19138	10.7890872155046
ENSG00000010671	HGNC:1133	7.67920776260563
ENSG00000010704	HGNC:4886	21.7167324500251
ENSG00000010803	HGNC:19003	43.8098113638839
ENSG00000010810	HGNC:4037	60.6709070128564
ENSG00000010818	HGNC:4921	40.7025664732089
ENSG00000010932	HGNC:3769	6.26829397752249
ENSG00000011007	HGNC:11620	59.2217251926221
ENSG00000011009	HGNC:6738	55.6333232124385
ENSG00000011021	HGNC:2024	21.7763931418274
ENSG00000011028	HGNC:16875	120.625471377334
ENSG00000011052	HGNC:33531	1.35166518771489
ENSG00000011105	HGNC:21640	73.5162452515161
ENSG00000011114	HGNC:18269	42.3399661177271
ENSG00000011132	HGNC:580	9.32503627577477
ENSG00000011143	HGNC:7121	14.351119395306
ENSG00000011198	HGNC:21396	42.4652557496879
ENSG00000011201	HGNC:6211	29.1033603743162
ENSG00000011243	HGNC:29857	38.3710874744231
ENSG00000011258	HGNC:19866	25.5737399084383
ENSG00000011260	HGNC:24274	35.3731385751418
ENSG00000011275	HGNC:21698	47.1291446458496
ENSG00000011295	HGNC:26006	48.1573879862185
ENSG00000011304	HGNC:9583	197.149167333313
ENSG00000011332	HGNC:20225	0.543379563117259
ENSG00000011347	HGNC:11514	148.815921061483
ENSG00000011376	HGNC:17095	18.3022966123969
ENSG00000011405	HGNC:8971	71.5739879539412
ENSG00000011422	HGNC:9053	19.0454175599146
ENSG00000011426	HGNC:14082	16.1384595772496
ENSG00000011451	HGNC:30917	62.1826024291169
ENSG00000011454	HGNC:17155	62.3604263923073
ENSG00000011465	HGNC:2705	2168.97106703912
ENSG00000011478	HGNC:25952	12.1541897035824
ENSG00000011485	HGNC:9322	46.5554325464623
ENSG00000011523	HGNC:29076	56.9173675805521
ENSG00000011566	HGNC:6865	37.0402703867807
ENSG00000011590	HGNC:16763	0.359074231377686
ENSG00000011600	HGNC:12449	47.2124166985447
ENSG00000011638	HGNC:30136	50.0272681735666
ENSG00000011677	HGNC:4077	0.358463002560247
ENSG00000012048	HGNC:1100	13.6833503060151
ENSG00000012061	HGNC:3433	55.3962008657888
ENSG00000012124	HGNC:1643	7.49911353322419
ENSG00000012171	HGNC:10724	65.9953099614543
ENSG00000012174	HGNC:15455	30.8785730933612
ENSG00000012211	HGNC:6645	11.3807459821543
ENSG00000012223	HGNC:6720	245.671603713882
ENSG00000012232	HGNC:3518	48.0343121869577
ENSG00000012660	HGNC:21308	412.480279235405
ENSG00000012779	HGNC:435	12.2953335152789
ENSG00000012822	HGNC:29306	104.368772012524
ENSG00000012963	HGNC:20344	48.2450471084754
ENSG00000012983	HGNC:6867	39.3700501511205
ENSG00000013016	HGNC:3244	19.1557621613369
ENSG00000013275	HGNC:9551	85.9470243290437
ENSG00000013288	HGNC:29623	84.550063006825
ENSG00000013293	HGNC:29326	0.158445318390011
ENSG00000013297	HGNC:8514	18.2715919218476
ENSG00000013306	HGNC:24279	169.981004220315
ENSG00000013364	HGNC:7531	160.798045208815
ENSG00000013374	HGNC:17623	74.7110705904274
ENSG00000013375	HGNC:8907	42.6791105625153
ENSG00000013392	HGNC:21385	7.567862087892
ENSG00000013441	HGNC:2068	76.0959140252348
ENSG00000013503	HGNC:30348	12.2263073228325
ENSG00000013523	HGNC:19961	24.4741512016405
ENSG00000013561	HGNC:10058	67.9567360140166
ENSG00000013563	HGNC:2957	18.8608587233853
ENSG00000013573	HGNC:2736	15.0344225381863
ENSG00000013583	HGNC:17176	140.513066615779
ENSG00000013588	HGNC:9836	186.276704291837
ENSG00000013619	HGNC:2568	11.373937777356
ENSG00000013725	HGNC:1691	3.16320994938763
ENSG00000013810	HGNC:11524	37.7899502207342
ENSG00000014123	HGNC:23039	43.4310629901517
ENSG00000014138	HGNC:30073	17.593367072147
ENSG00000014164	HGNC:28972	28.1604430952828
ENSG00000014216	HGNC:1476	174.617835446802
ENSG00000014257	HGNC:125	1.30209213235922
ENSG00000014641	HGNC:6970	211.118775635251
ENSG00000014824	HGNC:1329	76.2874048022034
ENSG00000014914	HGNC:24307	11.7067325479749
ENSG00000014919	HGNC:2263	48.5577542279035
ENSG00000015133	HGNC:19967	42.97564797108
ENSG00000015153	HGNC:17363	14.0309791289089
ENSG00000015171	HGNC:16966	113.974598132955
ENSG00000015285	HGNC:12731	8.00310693801926
ENSG00000015413	HGNC:3002	0.339354774182379
ENSG00000015475	HGNC:1050	28.990889959554
ENSG00000015479	HGNC:6912	4.39889681388222
ENSG00000015520	HGNC:7898	1.32984748410708
ENSG00000015532	HGNC:15517	32.9716847672197
ENSG00000015592	HGNC:16078	0.309462319727198
ENSG00000015676	HGNC:22208	114.193050177766
ENSG00000016391	HGNC:24288	28.835953023667
ENSG00000016402	HGNC:6003	14.3250184369056
ENSG00000016602	HGNC:2018	0.821018476060916
ENSG00000016864	HGNC:24870	56.382747060712
ENSG00000017260	HGNC:13211	130.079797622803
ENSG00000017427	HGNC:5464	13.4559441855223
ENSG00000017483	HGNC:18070	3.7971650571688
ENSG00000017797	HGNC:9841	81.352950223554
ENSG00000018189	HGNC:30285	31.6362403990089
ENSG00000018236	HGNC:2171	10.9787094854537
ENSG00000018280	HGNC:10907	5.00578911524906
ENSG00000018408	HGNC:24042	80.456593039268
ENSG00000018510	HGNC:327	82.1930627164354
ENSG00000018610	HGNC:26239	22.5428531694931
ENSG00000018625	HGNC:800	83.7192825648398
ENSG00000018699	HGNC:25986	21.5229812426211
ENSG00000018869	HGNC:26421	3.41556871018928
ENSG00000019102	HGNC:17149	3.27593570895242
ENSG00000019144	HGNC:23697	124.423566240315
ENSG00000019169	HGNC:6895	0
ENSG00000019186	HGNC:2602	2.92316115179603
ENSG00000019485	HGNC:13996	10.4927409497832
ENSG00000019505	HGNC:14962	35.0407518050793
ENSG00000019549	HGNC:11094	24.2888536920905
ENSG00000019582	HGNC:1697	1188.62748496428
ENSG00000019991	HGNC:4893	9.11828962791804
ENSG00000019995	HGNC:18224	21.6088227908034
ENSG00000020129	HGNC:17597	75.769822064481
ENSG00000020181	HGNC:17849	63.2136409701725
ENSG00000020256	HGNC:15940	15.9376998715506
ENSG00000020426	HGNC:7181	16.4236000187398
ENSG00000020577	HGNC:23023	30.5597025988735
ENSG00000020633	HGNC:10473	7.78336479942537
ENSG00000020922	HGNC:7230	28.8466709556678
ENSG00000021300	HGNC:19079	18.0691215005849
ENSG00000021355	HGNC:3311	65.422779502306
ENSG00000021461	HGNC:17450	0.120411644667572
ENSG00000021488	HGNC:11067	0.274204921239757
ENSG00000021574	HGNC:11233	25.1820043925866
ENSG00000021645	HGNC:8010	2.17431527936343
ENSG00000021762	HGNC:16392	32.1673080231885
ENSG00000021776	HGNC:29513	56.6882481912901
ENSG00000021826	HGNC:2323	14.9220222864232
ENSG00000022267	HGNC:3702	0
ENSG00000022277	HGNC:15890	112.270409318132
ENSG00000022556	HGNC:22948	12.644720384635
ENSG00000022567	HGNC:29196	13.5943653264066
ENSG00000022840	HGNC:10055	176.381544030622
ENSG00000022976	HGNC:20345	6.89601222100518
ENSG00000023041	HGNC:19160	38.8578521423314
ENSG00000023171	HGNC:29214	1.97686126095819
ENSG00000023191	HGNC:10074	139.456722555993
ENSG00000023228	HGNC:7707	102.395251989152
ENSG00000023287	HGNC:15574	86.5673346367228
ENSG00000023318	HGNC:18311	74.1372875403214
ENSG00000023330	HGNC:396	43.1217061230758
ENSG00000023445	HGNC:591	19.7789341402831
ENSG00000023516	HGNC:369	76.8641228799826
ENSG00000023572	HGNC:16065	10.3521678599994
ENSG00000023608	HGNC:11134	7.34186992112151
ENSG00000023697	HGNC:24269	30.1445077375769
ENSG00000023734	HGNC:30796	132.970929262761
ENSG00000023839	HGNC:53	1.73947351687439
ENSG00000023892	HGNC:2760	10.8160471511453
ENSG00000023902	HGNC:24310	47.6899012771387
ENSG00000023909	HGNC:4312	27.1300245445354
ENSG00000024048	HGNC:21289	71.6183969673827
ENSG00000024422	HGNC:3243	284.766905575465
ENSG00000024526	HGNC:22949	6.14201060293742
ENSG00000024862	HGNC:21098	21.7600629979279
ENSG00000025039	HGNC:19903	34.0424538508524
ENSG00000025156	HGNC:5225	14.3780476781966
ENSG00000025293	HGNC:16098	61.0170659849136
ENSG00000025423	HGNC:23316	1.20524366447249
ENSG00000025434	HGNC:7966	44.7210747289995
ENSG00000025708	HGNC:3148	50.422663000974
ENSG00000025770	HGNC:25071	35.5183845039744
ENSG00000025772	HGNC:15746	40.3559384523179
ENSG00000025796	HGNC:21082	134.767016046578
ENSG00000025800	HGNC:6399	81.3379993842794
ENSG00000026025	HGNC:12692	2237.14078585456
ENSG00000026036	HGNC:44095	1.32244916597421
ENSG00000026103	HGNC:11920	11.7991538291081
ENSG00000026297	HGNC:21686	41.4734702882533
